gene,mean_expression
POPDC2,0.031350162
CFAP44,0.03132512
CASTOR3,0.03132512
ADRA2A,0.03132512
HBZ,0.03132512
THAP2,0.03132512
DYNC2H1,0.03132512
SRGAP2C,0.03132512
MPZL3,0.03130008
GPAM,0.03130008
DUSP7,0.03127504
TMEM192,0.03125
IGF2BP1,0.03125
ZNF480,0.03125
METTL4,0.03125
SAMD14,0.03125
PTRH1,0.03125
HACE1,0.03122496
AFF3,0.03122496
RAB27B,0.03122496
C9orf152,0.03122496
CHEK1,0.03122496
AC139530.1,0.03122496
CADPS2,0.031199919
MPP7,0.031199919
AC015922.4,0.031199919
RFX3,0.03117488
LOXL4,0.03117488
ADHFE1,0.03117488
GALNT18,0.03117488
CELSR2,0.03114984
GAS2L3,0.0311248
LINC00511,0.0311248
AC104825.1,0.031099759
SLC38A7,0.031099759
BCAS3,0.031099759
KLHL2,0.03107472
MARK1,0.03104968
PTGR2,0.03104968
FAM228B,0.03104968
RBM48,0.03104968
DCAF17,0.03104968
C12orf4,0.03104968
L3MBTL1,0.03104968
ABCA3,0.03104968
PNPT1,0.03104968
KDF1,0.031024639
POLA1,0.031024639
TUBGCP4,0.030999599
KMT2E-AS1,0.030999599
NETO2,0.030999599
ERAP2,0.030999599
TMEM158,0.03097456
UEVLD,0.03097456
EPOR,0.03097456
RABGEF1,0.03094952
SERPINB9,0.03094952
MERTK,0.03094952
AASDH,0.03094952
PCBP3,0.030924479
CENPA,0.030924479
TOX3,0.030924479
ZNF766,0.030924479
SGK3,0.030924479
AL513548.1,0.030899439
WDR83,0.0308744
SENP1,0.0308744
MNAT1,0.030849358
SMIM32,0.030849358
DLG2,0.030849358
CDC14B,0.030849358
PDCD7,0.030849358
PACRGL,0.030824319
SAAL1,0.030824319
LAMA2,0.03077424
C12orf43,0.03077424
LRFN3,0.03077424
RBAK,0.030749198
GCH1,0.030749198
NAA80,0.030749198
MYCT1,0.030749198
ANGPTL4,0.030724159
UBIAD1,0.030699119
KIT,0.030699119
SMIM2-AS1,0.030699119
ITCH,0.03067408
CENPN,0.03067408
IKZF4,0.03067408
COX16,0.03067408
ATOH8,0.03067408
PPP1R13L,0.030649038
CPED1,0.030649038
BNIP1,0.030649038
FAM110A,0.030649038
ZNF697,0.030649038
GTPBP10,0.030649038
EXOC6,0.030623998
ENTPD2,0.030623998
HUNK,0.030623998
TMEM117,0.030598959
IL3RA,0.030598959
C3orf38,0.030598959
BOLA2B,0.030598959
FAP,0.030573918
CLIC6,0.030573918
DPP10-AS1,0.030573918
ARHGEF28,0.030548878
ARHGEF39,0.030548878
CA11,0.030548878
ZSCAN30,0.030523838
BRMS1L,0.030523838
EGFL6,0.030498799
GNB3,0.030498799
SLC25A43,0.030498799
TWISTNB,0.030498799
REEP2,0.030498799
LINC00926,0.030498799
ACVR2B,0.030473758
SCN3B,0.030473758
RPUSD2,0.030473758
HUS1,0.030473758
ASCC1,0.030448718
ALDH1A3,0.030448718
LRRC8C,0.030448718
A1BG,0.030423678
ADAMTSL1,0.030423678
TAF5L,0.030423678
RNF214,0.030423678
CCDC91,0.030373598
MRPL39,0.030373598
ARL4C,0.030373598
AC093673.1,0.030348558
SLC6A9,0.030348558
ACTR5,0.030348558
POT1,0.030298477
TNFAIP8,0.030298477
OSBPL11,0.030273438
SLC25A19,0.030273438
VTI1A,0.030273438
PSMA6,0.030273438
CTBS,0.030273438
HLA-DQA1,0.030273438
ZNHIT2,0.030273438
BRCA1,0.030273438
HMBOX1,0.030248398
AGK,0.030223357
FOXN2,0.030223357
UTP23,0.030198317
ABCG1,0.030198317
DOLK,0.030198317
AL050341.2,0.030198317
PLPP6,0.030173277
PLB1,0.030173277
MSANTD4,0.030173277
ZNF764,0.030148238
ZNF710-AS1,0.030148238
RRAGD,0.030148238
SYNJ1,0.030148238
ATP1B2,0.030123197
SF3A2,0.030123197
TBX2-AS1,0.030123197
WDR7,0.030123197
PIBF1,0.030123197
HDAC10,0.030123197
SPIN3,0.030098157
ELMO1,0.030098157
THTPA,0.030073117
TOMM40L,0.030073117
MIAT,0.030073117
ALG9,0.030073117
KLHL28,0.030073117
NDUFAF1,0.030048076
AJM1,0.030048076
SSUH2,0.030048076
ANKRD36B,0.030048076
IL17RB,0.030023037
TSEN2,0.030023037
MRM3,0.030023037
TADA1,0.029997997
SEPT4,0.029972957
CLDND2,0.029972957
EFL1,0.029972957
SMARCE1,0.029947916
ERI1,0.029947916
FRK,0.029947916
AC015912.3,0.029947916
DDX31,0.029947916
SLC4A3,0.029922877
ATRIP,0.029922877
ZNF761,0.029922877
DSTYK,0.029922877
TNNC2,0.029922877
AVEN,0.029922877
LONRF1,0.029897837
DBF4,0.029897837
CCL11,0.029872796
LPAR5,0.029847756
CHST1,0.029822716
TRIM39,0.029797677
FASTKD5,0.029797677
BAIAP3,0.029772636
GALNT9,0.029772636
YOD1,0.029772636
SLC25A33,0.029747596
ENPEP,0.029747596
AQP7,0.029747596
RAD52,0.029722556
SMYD3,0.029722556
SETD6,0.029722556
ADGRG7,0.029722556
AC005332.6,0.029697517
SH3D21,0.029697517
CASC10,0.029697517
SPATA2L,0.029697517
BCORL1,0.029697517
MRAS,0.029672476
TTC33,0.029672476
ZNF736,0.029647436
TTPAL,0.029647436
RASGEF1B,0.029647436
OMA1,0.029647436
BCL6B,0.029647436
ZBTB8A,0.029647436
SHQ1,0.029647436
FAM69A,0.029647436
MYCN,0.029622396
CNIH2,0.029622396
PRRG2,0.029622396
TBX10,0.029622396
RIN1,0.029597355
PCNX2,0.029597355
NPAT,0.029572316
SCUBE3,0.029572316
NLGN4X,0.029572316
CDC7,0.029572316
CAP2,0.029572316
POC1B,0.029547276
LRP5L,0.029547276
ABHD16A,0.029547276
ABHD8,0.029522236
JRK,0.029522236
TTI2,0.029522236
PRKG2,0.029522236
ACSL4,0.029522236
MARCH3,0.029522236
DNALI1,0.029497195
AGTPBP1,0.029497195
CSRNP3,0.029497195
SAMD9,0.029497195
NCF4,0.029497195
ATP1A2,0.029472155
TMEM186,0.029472155
IRAK3,0.029472155
ARMCX5,0.029472155
HACD4,0.029472155
WHRN,0.029447116
KPNA5,0.029447116
ANKRD36,0.029422075
WDHD1,0.029422075
PPIP5K1,0.029397035
NKD1,0.029397035
TBL1X,0.029371995
ESF1,0.029371995
ADCY7,0.029371995
NAV2,0.029371995
CD79A,0.029346956
MAP3K8,0.029346956
SPICE1,0.029321915
DCUN1D3,0.029321915
KIAA0513,0.029321915
ZNF277,0.029296875
NHS,0.029271835
AIF1L,0.029271835
MIPEP,0.029271835
APOL4,0.029271835
FUT6,0.029271835
AMH,0.029271835
AP000439.2,0.029246794
FDXR,0.029221755
GLMN,0.029221755
PCBD2,0.029221755
INTS9,0.029221755
STXBP6,0.029196715
MED17,0.029196715
NELL1,0.029196715
LIN54,0.029171675
ZW10,0.029146634
TMEM107,0.029121595
MND1,0.029121595
CACNA2D2,0.029121595
ANKMY1,0.029121595
NCAPH,0.029121595
AL645608.1,0.029096555
FSD1L,0.029096555
BTN3A3,0.029096555
TIAM1,0.029096555
CDC45,0.029071514
CYP2J2,0.029046474
POLR3F,0.029046474
PIK3CD,0.029046474
MAP7D3,0.029021434
STS,0.029021434
UHRF1BP1,0.029021434
C6,0.028996395
CHRDL2,0.028996395
SPINK5,0.028996395
TEFM,0.028996395
ST3GAL5,0.028971354
JPH4,0.028921274
NACC1,0.028921274
LRR1,0.028896233
EBF1,0.028896233
LINC00294,0.028896233
REPS2,0.028896233
WARS2,0.028871194
CD53,0.028871194
PLAA,0.028846154
CTXN1,0.028846154
CHRNB1,0.028846154
SPTLC3,0.028846154
GANC,0.028846154
SRD5A1,0.028821114
ZNF10,0.028821114
WDR25,0.028821114
ZBTB33,0.028796073
HHEX,0.028796073
PDSS1,0.028796073
SHE,0.028796073
AL391807.1,0.028796073
HRASLS2,0.028796073
VPS37D,0.028771034
TMEM187,0.028771034
XRCC3,0.028771034
AC090114.2,0.028745994
GINS1,0.028745994
CHODL,0.028745994
PET117,0.028745994
TRIM23,0.028720954
PARP8,0.028720954
AC067852.2,0.028720954
SHISA2,0.028695913
SPINDOC,0.028695913
AP4E1,0.028695913
TPSB2,0.028695913
PLA2G4F,0.028695913
NSUN7,0.028670873
WDSUB1,0.028670873
BUD13,0.028670873
STIL,0.028670873
GALNT8,0.028670873
SNHG21,0.028645834
ARHGEF4,0.028645834
NUDT11,0.028645834
PRKX,0.028620793
ZNF398,0.028595753
CADM4,0.028595753
ZNF48,0.028595753
ENHO,0.028595753
SEC61A2,0.028595753
RERG,0.028570713
PTGIR,0.028570713
TNFRSF19,0.028570713
BHLHB9,0.028545674
IFI44,0.028545674
FGD3,0.028545674
ZNF717,0.028545674
CCM2L,0.028520633
EPN3,0.028520633
CLPB,0.028495593
USP21,0.028470553
ACSM3,0.028445512
LINC00672,0.028445512
ZNF347,0.028420473
KIF2A,0.028420473
FSD1,0.028420473
MFNG,0.028420473
VSTM2L,0.028420473
PIANP,0.028395433
TM6SF2,0.028395433
STAT5A,0.028370393
HILPDA,0.028370393
GNG8,0.028370393
TCL1A,0.028345352
C19orf54,0.028320312
AC084033.3,0.028320312
DDX10,0.028320312
FUZ,0.028295273
PRAC2,0.028295273
CENPH,0.028295273
ZDHHC23,0.028270232
MOSPD2,0.028270232
LRRC3,0.028270232
TRIM45,0.028245192
STK26,0.028220152
VEGFC,0.028220152
AKR1B10,0.028220152
GAREM1,0.028220152
SCAI,0.028195113
TNFRSF10D,0.028145032
ATG4C,0.028145032
RSPH3,0.028145032
SLC35F2,0.028145032
GNAZ,0.028145032
NUDT12,0.028119992
RBBP8,0.028119992
SLC38A9,0.028119992
KIF9,0.028094951
SMARCC2,0.028094951
F7,0.028044872
MAMLD1,0.028044872
GON7,0.028019832
RGS11,0.028019832
MSANTD3,0.028019832
IPPK,0.028019832
YARS2,0.028019832
FAIM,0.027994791
USP6,0.027994791
CNTN4,0.027994791
GATA5,0.027994791
CDR2L,0.027969752
MYPOP,0.027969752
MASP1,0.027969752
PDE10A,0.027969752
PLCB1,0.027969752
CES4A,0.027944712
SGO2,0.027944712
ASB7,0.027944712
PEX3,0.027944712
DPY19L2,0.02791967
FOXL1,0.02791967
ADAMTS8,0.02791967
RAD51D,0.02791967
MAP3K10,0.02791967
METTL8,0.02791967
KLHL20,0.027894631
AKR1C1,0.027894631
SPOCK2,0.027894631
SUSD1,0.027869591
CXorf56,0.027844552
CORO2B,0.027844552
TRAF3IP1,0.027844552
TTLL5,0.02781951
SMIM31,0.027794471
PPARGC1B,0.027794471
DEPDC1B,0.027794471
NMI,0.027794471
MYZAP,0.027769431
GPATCH1,0.027769431
SLC38A6,0.027769431
GPN3,0.027744392
TTC27,0.027744392
DOCK4,0.027694311
PAQR3,0.027694311
SLC6A7,0.027694311
DLEU2,0.027669271
MASTL,0.027669271
TMEM184C,0.027669271
NOM1,0.02764423
NPHP4,0.02764423
LILRB5,0.02764423
PITPNM2,0.02764423
SNX29,0.027594151
C9orf64,0.027594151
AL353622.1,0.027594151
E2F5,0.027594151
SLC35G1,0.027569111
CTU2,0.027569111
VASH1-AS1,0.02754407
PUS7,0.02754407
ST3GAL1,0.02751903
MLF1,0.02751903
SOBP,0.02751903
DDX59,0.02751903
ALPK3,0.027493991
PRR12,0.027493991
LINC01006,0.02746895
RCAN3,0.02746895
PIWIL4,0.02744391
C10orf88,0.02744391
ETV4,0.02744391
RAB12,0.02741887
PAQR6,0.027393831
NR0B2,0.027393831
ITGB6,0.027393831
PCNX3,0.027393831
FZD3,0.02736879
KCNAB3,0.02736879
L3HYPDH,0.02736879
ZKSCAN5,0.02736879
NARS2,0.02736879
EGLN2,0.02734375
ANKRD35,0.02734375
TRIM68,0.02734375
SPC25,0.02731871
C3orf52,0.02731871
ABCC8,0.02731871
APOM,0.02731871
TMEM104,0.02731871
AC007952.4,0.02731871
STEAP2,0.027293669
PLK4,0.027293669
CEP162,0.027293669
FAM83D,0.02726863
GZF1,0.02726863
AC137767.1,0.02726863
LINC01003,0.02724359
IGFN1,0.02724359
RNF219,0.02724359
MAB21L1,0.02724359
ENPP3,0.02721855
ZUP1,0.02721855
MIA,0.027193509
POLR3B,0.027193509
CDC6,0.027193509
BHLHE41,0.02716847
TIMM8A,0.02716847
CDO1,0.02716847
WDR62,0.02716847
PCSK9,0.02716847
SEPT1,0.02714343
SLC2A2,0.02714343
FILIP1,0.02714343
PAK1IP1,0.027118389
PIGV,0.027118389
C12orf29,0.027118389
DRAM1,0.027093349
FAM19A5,0.027093349
CEP152,0.027093349
ATCAY,0.02706831
OLFM2,0.02704327
C1orf109,0.02704327
BRSK2,0.027018229
HELQ,0.027018229
CCDC58,0.027018229
VWA8,0.027018229
TMEM191C,0.026993189
ZSCAN25,0.026993189
RASGRP3,0.026993189
TRIM59,0.02696815
PNPLA7,0.02696815
ZNF646,0.02696815
MOSPD1,0.026943108
ACKR1,0.026918069
AC005261.3,0.026918069
FITM2,0.026918069
PECR,0.026918069
SPI1,0.026893029
PARP3,0.026893029
ARHGAP44,0.02686799
FGF2,0.02686799
CD83,0.02686799
TDRD7,0.026842948
THBD,0.026817909
BBS5,0.026817909
EEF2KMT,0.026817909
BPGM,0.026792869
ZC3H8,0.026792869
FEV,0.026792869
PPAT,0.026792869
EHHADH,0.026742788
SRGAP3,0.026717748
PRIM2,0.026717748
SLC9A9,0.026692709
EEF1AKMT3,0.026692709
PDZK1,0.026692709
SMIM6,0.026667668
THSD7A,0.026667668
ABCC4,0.026667668
LYSMD2,0.026667668
AC009414.2,0.026642628
AP001062.1,0.026642628
GYG2,0.026642628
WDR76,0.026642628
KCTD18,0.026642628
ZNF689,0.026617588
AC078846.1,0.026617588
ARHGAP24,0.026617588
SLC36A4,0.026617588
STYK1,0.026617588
TMEM136,0.026592549
HLCS,0.026592549
PDE4A,0.026592549
ZNF439,0.026592549
PPP3R1,0.026567508
LINC01106,0.026567508
TRIP13,0.026567508
KBTBD7,0.026567508
CCDC74A,0.026542468
TLX2,0.026542468
VWCE,0.026542468
DHODH,0.026517428
RFTN2,0.026517428
IKBKE,0.026517428
TRIM63,0.026492387
ADAM23,0.026442308
UST,0.026442308
CPNE5,0.026442308
S1PR1,0.026442308
ADAMTS4,0.026442308
PDIK1L,0.026442308
VAMP1,0.026417268
ZSCAN21,0.026392227
BBC3,0.026392227
IL17B,0.026392227
CX3CL1,0.026392227
RMDN2,0.026367188
NOC3L,0.026342148
PRDM15,0.026342148
MNX1,0.026342148
TM4SF5,0.026342148
CDH6,0.026317107
ZKSCAN2,0.026317107
PYCR3,0.026317107
ZDHHC11,0.026317107
LYAR,0.026317107
TMEM102,0.026292067
CSPP1,0.026292067
CEP85L,0.026292067
SMOX,0.026267027
UTP14A,0.026267027
TCTN2,0.026267027
MMS22L,0.026267027
HPS5,0.026267027
B9D2,0.026241988
ERN1,0.026241988
PTPN4,0.026216947
ZNF471,0.026216947
DNAL1,0.026216947
TTF1,0.026216947
ACAP1,0.026191907
ZBTB24,0.026191907
IFIT1,0.026191907
NFXL1,0.026191907
AC024060.1,0.026166867
TMEM63C,0.026141826
RLF,0.026116787
TTK,0.026116787
KNDC1,0.026116787
ANGPTL1,0.026091747
PINLYP,0.026091747
PCDHB15,0.026066707
ENO3,0.026041666
PNO1,0.026041666
KDM1B,0.026016627
TBC1D8B,0.026016627
P2RY11,0.026016627
NEU3,0.026016627
IL6R,0.025991587
GSTM2,0.025991587
ZNF599,0.025991587
HERC3,0.025991587
SH3GL3,0.025966546
SLC35F1,0.025966546
FBXO33,0.025966546
ABCA8,0.025941506
APOL1,0.025941506
TUBB3,0.025941506
LIPG,0.025916466
LINC01023,0.025916466
ARMC9,0.025916466
HEATR3,0.025891427
ZFP1,0.025891427
GLB1L2,0.025891427
RNGTT,0.025866386
ZNF793,0.025866386
ADCK1,0.025866386
INO80B,0.025866386
SLC41A2,0.025866386
PMS2,0.025841346
PPARGC1A,0.025816306
GPAT2,0.025816306
ARHGEF15,0.025816306
AC245297.3,0.025816306
WRAP53,0.025791267
NCEH1,0.025791267
PRKCH,0.025766226
CCL3,0.025766226
TGDS,0.025766226
PRPF18,0.025766226
WAC-AS1,0.025741186
AL160006.1,0.025741186
AC006333.2,0.025741186
RPGR,0.025741186
HEATR6,0.025741186
ZBTB21,0.025716146
SKA1,0.025716146
ZNF678,0.025716146
FGD6,0.025691105
ADCYAP1,0.025666066
GNG7,0.025666066
EFR3B,0.025641026
MCM8,0.025641026
FBXO6,0.025641026
AC074117.1,0.025641026
DOCK11,0.025641026
SPATA7,0.025641026
AC092069.1,0.025641026
SPOCK3,0.025615986
FGB,0.025615986
FRMD3,0.025615986
HMMR,0.025615986
RIIAD1,0.025590945
CASP8,0.025590945
LPXN,0.025590945
ZNF346,0.025590945
NTF3,0.025590945
ZNF407,0.025565905
CD163,0.025565905
IL10RA,0.025565905
GDAP1L1,0.025565905
PROM2,0.025565905
MPV17L2,0.025565905
ABI3,0.025540866
TXNDC16,0.025540866
NTN4,0.025515825
CNTNAP2,0.025515825
OPA3,0.025490785
RHOBTB2,0.025490785
CAND2,0.025490785
OLMALINC,0.025490785
COQ10A,0.025490785
C4orf33,0.025490785
COL4A6,0.025490785
ZNF90,0.025490785
CILP,0.025465745
TIMM23B,0.025465745
RASD2,0.025465745
ATG10,0.025465745
SHANK2,0.025440706
RARB,0.025440706
PSAT1,0.025440706
QRICH2,0.025440706
PRKCE,0.025415665
FRY,0.025415665
RTKN2,0.025415665
OSR2,0.025415665
DISP1,0.025415665
SSC5D,0.025390625
AC093157.1,0.025390625
LSM11,0.025365585
SRBD1,0.025365585
ASTE1,0.025365585
DIAPH3,0.025365585
AC009948.1,0.025365585
RAB37,0.025365585
CYB5R4,0.025340544
C18orf54,0.025340544
ATXN7L2,0.025340544
CA8,0.025315505
CDC25C,0.025315505
BTC,0.025315505
RAB30,0.025290465
TMEM147-AS1,0.025290465
ZBTB14,0.025265425
HSPBAP1,0.025265425
AP5S1,0.025265425
RNASEL,0.025240384
TUBAL3,0.025240384
HOXB9,0.025240384
USHBP1,0.025240384
C3orf14,0.025240384
IL17D,0.025190305
COA7,0.025190305
LINC00865,0.025190305
PKN3,0.025190305
IGIP,0.025165264
MAML3,0.025165264
KCTD13,0.025165264
TMEM121,0.025140224
FAM216A,0.025140224
MFSD9,0.025140224
RIMBP2,0.025140224
HVCN1,0.025140224
RCSD1,0.025115184
NOS3,0.025115184
CBWD2,0.025115184
PRR22,0.025090145
HOTTIP,0.025090145
ZNF668,0.025090145
ZNF432,0.025090145
RAB11B-AS1,0.025065104
WDR44,0.025040064
TMOD1,0.025015024
ALKAL2,0.024989983
MC1R,0.024989983
GJB2,0.024989983
ZNF180,0.024989983
TINAG,0.024964944
CCDC77,0.024964944
ZNF236,0.024964944
DTD2,0.024939904
EDA,0.024914864
PKNOX2,0.024889823
EFCAB2,0.024889823
AC004918.1,0.024889823
SIDT1,0.024889823
ARHGAP6,0.024864784
E2F3,0.024864784
CADPS,0.024864784
TADA2A,0.024864784
POLR1B,0.024839744
ZBTB26,0.024814704
NAP1L5,0.024814704
CDC25A,0.024814704
ZCCHC2,0.024814704
MTG1,0.024814704
PLEK2,0.024789663
SLC6A6,0.024789663
CAPN13,0.024789663
BRSK1,0.024789663
ZSCAN2,0.024764623
STON2,0.024764623
GSTCD,0.024764623
EXPH5,0.024764623
FAM221A,0.024764623
LRRC37A2,0.024739584
STARD8,0.024714543
MAST1,0.024714543
TRMT10B,0.024714543
QTRT2,0.024714543
DUSP28,0.024689503
DHRS13,0.024689503
OSBPL3,0.024689503
AC244090.1,0.024664463
FGGY,0.024664463
TRAIP,0.024639424
ASTN2,0.024614383
TICRR,0.024614383
EPHA3,0.024614383
TRPV3,0.024614383
UBAP1L,0.024614383
NR4A2,0.024614383
C5orf22,0.024589343
AC083843.3,0.024589343
LINC00909,0.024589343
TRPS1,0.024589343
TYW5,0.024564303
STUM,0.024564303
CHN1,0.024564303
CYP26B1,0.024564303
HACL1,0.024539262
ZNF250,0.024539262
RAB3B,0.024514223
RAB7B,0.024514223
SERP2,0.024489183
FAM120C,0.024464143
NPL,0.024464143
AOAH,0.024464143
C1orf226,0.024464143
ZBTB7C,0.024464143
RCL1,0.024439102
FZD6,0.024414062
DTX1,0.024414062
BBS10,0.024389023
ALDH4A1,0.024389023
EML5,0.024389023
SLC30A4,0.024389023
EXOC3L4,0.024338942
HEXIM2,0.024338942
ADSSL1,0.024338942
CYP51A1,0.024338942
TRIM21,0.024338942
FBXL2,0.024313902
MAGI2,0.024313902
ECHDC3,0.024313902
TTLL1,0.024313902
ATRNL1,0.024313902
ZNF354B,0.024313902
AC093297.2,0.024313902
IGF1,0.024313902
PLCL2,0.024313902
CLEC3B,0.024313902
ZNF419,0.024313902
PIRT,0.024288863
REN,0.024288863
CCDC112,0.024263822
ZNF687,0.024263822
KANSL1L,0.024263822
MED26,0.024263822
PI15,0.024263822
NAV3,0.024263822
MALRD1,0.024238782
NXPE3,0.024238782
ZNF519,0.024238782
NTNG1,0.024238782
PCDHB14,0.024213742
RBM45,0.024213742
GCLM,0.024213742
GFOD1,0.024188701
UMAD1,0.024188701
INTS2,0.024188701
TREH,0.024188701
ZBTB2,0.024163662
AKAP6,0.024163662
BTNL9,0.024163662
AP002360.1,0.024163662
CD37,0.024138622
LIPE-AS1,0.024138622
IMMP2L,0.024138622
CSTF2,0.024088541
TMEM267,0.024088541
KLHL25,0.024088541
HOMEZ,0.024088541
PPP1R14C,0.024088541
ZNF608,0.024063502
CACNB1,0.024063502
ZNF100,0.024038462
EBF2,0.024038462
ZNF625,0.024038462
ZNF615,0.02401342
AC027031.2,0.023988381
C22orf46,0.023988381
ZNF138,0.023963341
SLC27A5,0.023963341
POU6F1,0.023938302
CYP2C18,0.023938302
ZNF649,0.023938302
CDKL5,0.023938302
ATP6V1G2,0.023938302
DNAJC17,0.02391326
ZNF181,0.02391326
NUBPL,0.023888221
SERPINF2,0.023888221
MPO,0.023888221
OAS3,0.023888221
MIR762HG,0.023888221
SLC2A11,0.023888221
LDLRAD3,0.023863181
THAP8,0.023863181
SH3RF3,0.0238131
AC132872.1,0.0238131
AKR1C2,0.0238131
MS4A4A,0.0238131
MB21D2,0.0238131
OSMR,0.023788061
PCGF6,0.023788061
ATP23,0.023788061
OTUD6B,0.023763021
ERCC6,0.02373798
ZNF626,0.02371294
SLCO3A1,0.02371294
COQ3,0.023687901
RAD18,0.023687901
CTBP1-DT,0.023662861
EIF1AY,0.023662861
SV2A,0.023662861
TTN-AS1,0.02363782
ZNF275,0.02363782
CMYA5,0.02361278
GPC2,0.02361278
ZNF143,0.02361278
ADAM22,0.02361278
CCDC198,0.023587741
RCOR2,0.023587741
SLC41A1,0.023587741
DET1,0.0235627
CCDC183,0.0235627
LIF,0.0235627
ZNF691,0.0235627
ZNF141,0.0235627
FAM161A,0.0235627
TRIM22,0.0235627
MDP1,0.0235627
POMZP3,0.0235627
TMEM35A,0.02353766
ZNF526,0.02353766
FASTKD3,0.02353766
FIBCD1,0.02351262
PFKFB4,0.02351262
PTGS1,0.023487581
GRIK3,0.023487581
ADAMTS19,0.023487581
COLQ,0.023487581
RELN,0.023487581
C1orf112,0.023487581
KLHL3,0.023487581
CIDEC,0.023487581
CHAF1B,0.02346254
SLC29A3,0.02346254
CEP83,0.02346254
SLC25A34,0.02346254
AAED1,0.02346254
ST3GAL6,0.02346254
UPK3B,0.02341246
SLC49A3,0.02341246
DUSP15,0.02341246
WDR47,0.02341246
NR1D2,0.02341246
FABP3,0.02341246
TRMT44,0.023387419
HOXD11,0.023387419
AL359504.2,0.023387419
IL16,0.023387419
FBXO4,0.02336238
AEN,0.02336238
ADAMTSL5,0.02336238
CASTOR1,0.02336238
GEMIN2,0.02333734
BTN3A2,0.02333734
TNFRSF4,0.02333734
AC090152.1,0.02333734
ADA,0.02333734
AGA,0.02333734
SEPT3,0.0233123
LRRC27,0.0233123
SLX4,0.0233123
SSTR1,0.023287259
BEND7,0.023287259
FAM57B,0.023287259
ZNF888,0.023287259
HOXA2,0.02326222
ZNF71,0.02326222
AC012615.1,0.02326222
INSC,0.02326222
STEAP1,0.02326222
CCDC159,0.02323718
ABCC9,0.02323718
ZNF57,0.023212139
TTC39C,0.023212139
AP001816.1,0.023212139
ZBED8,0.023187099
HOPX,0.023187099
PGBD1,0.023187099
FAM220A,0.023187099
SOX6,0.02316206
CCNE1,0.02316206
KIAA0586,0.02316206
ZNF500,0.02316206
B4GALT6,0.02313702
GORAB,0.02313702
SHCBP1,0.02313702
FP565260.1,0.02313702
CYS1,0.023111979
ZNF549,0.023111979
TMEM268,0.023086939
CHIC1,0.023086939
ADAMTS15,0.023086939
PSMC3IP,0.0230619
WWC1,0.0230619
DARS2,0.0230619
ANKRD26,0.0230619
C5orf63,0.0230619
ALKBH1,0.023036858
MRM1,0.023036858
GSPT2,0.023036858
PTPDC1,0.023036858
METTL25,0.023036858
FBXW8,0.023011819
RNF165,0.023011819
TMEM132C,0.023011819
DENND4C,0.023011819
BLOC1S5,0.023011819
C19orf44,0.022986779
ZNF575,0.022986779
SLFN5,0.022986779
RAMP3,0.02296174
SLC19A2,0.02296174
SCG3,0.02296174
ENPP1,0.02296174
SDK2,0.022936698
GBE1,0.022936698
IGHA2,0.022936698
FAM173B,0.022911659
AC104794.2,0.022911659
DICER1-AS1,0.022911659
CLBA1,0.022911659
AL078639.1,0.022886619
CEP55,0.02286158
OVOL2,0.02286158
TFB1M,0.02286158
HDAC9,0.02286158
MTFR1,0.02286158
ARHGEF35,0.02286158
C2,0.022836538
AC015813.1,0.022836538
NKD2,0.022811498
MAP9,0.022786459
ZNF589,0.022786459
ANKRD6,0.022786459
CBFA2T3,0.022786459
MPP2,0.022786459
ANKRD36C,0.022786459
COL11A1,0.022761418
FAM222A,0.022761418
MMP17,0.022761418
TMEM139,0.022761418
REXO5,0.022761418
ELAVL3,0.022761418
CCDC180,0.022711338
NSUN6,0.022711338
MYO1F,0.022711338
ZNF175,0.022711338
ZSCAN32,0.022711338
SCRG1,0.022661258
STRA6,0.022661258
AL161772.1,0.022661258
SULT4A1,0.022661258
GPER1,0.022661258
NLGN3,0.022636218
PARPBP,0.022611178
PTPRC,0.022586137
CRLF3,0.022586137
SYNE3,0.022586137
SOSTDC1,0.022586137
CDC14A,0.022586137
NT5M,0.022586137
DPYD,0.022561098
AL450306.1,0.022561098
CADM3,0.022561098
TNFRSF13C,0.022561098
TMLHE,0.022561098
TASP1,0.022561098
TMEM198,0.022536058
CORO6,0.022536058
NBPF20,0.022536058
ZNF28,0.022536058
ZNF468,0.022536058
RFXAP,0.022536058
TENT5C,0.022536058
LIG4,0.022511018
FAM171B,0.022511018
SRR,0.022511018
UTP15,0.022511018
AC093525.6,0.022511018
CHST11,0.022485977
ZNF354A,0.022485977
REM1,0.022485977
ADGRB1,0.022485977
ZNF550,0.022460938
LYSMD1,0.022460938
SLF1,0.022460938
PRKAG2-AS1,0.022460938
GSTT2B,0.022460938
PPY,0.022435898
LRRC49,0.022435898
PLCL1,0.022435898
PPL,0.022410857
ADD2,0.022410857
PLXNC1,0.022385817
SHROOM2,0.022385817
FBLN7,0.022385817
ZNF449,0.022385817
GPIHBP1,0.022385817
ZNF667,0.022385817
GPR137C,0.022360777
MYOM2,0.022360777
TMC8,0.022335738
GIMAP6,0.022335738
TMEM231,0.022335738
ZNF440,0.022335738
AC007325.4,0.022335738
ELAC1,0.022335738
RAB3C,0.022335738
DISC1,0.022310697
NATD1,0.022310697
AGAP5,0.022310697
FAM189A2,0.022310697
C14orf28,0.022310697
CBX8,0.022310697
C5orf66-AS1,0.022310697
PLA2G16,0.022285657
SCML2,0.022285657
CWF19L2,0.022285657
NBPF9,0.022285657
